LANG,Keyword,TOPICS,CATEGORY,SUB-CATEGORY,Position SE Ranking,Average Search Volume,Volume Q1 2026,Volume Q4 2025,Coverage One Search Q1 2026,Coverage One Search Q4 2025,Clics OneSearch Q1 2026,Impressions OneSearch Q1 2026,Clics OneSearch Q4 2025,Impressions OneSearch Q4 2025,Clics SEO Q1 2026,Clics SEM Q1 2026,Clics SEO Q4 2025,Clics SEM Q4 2025,Impr. SEO Q1 2026,Impr. SEM Q1 2026,Impr. SEO Q4 2025,Impr. SEM Q4 2025,CTR SEO Q1 2026,CTR SEM Q1 2026,CTR SEO Q4 2025,CTR SEM Q4 2025,Conversions SEO Q1 2026,Conversions SEM Q1 2026,Conversions SEO Q4 2024,Conversions SEM Q4 2024,CPC SEO Q1 2026,CPC moy. SEM Q1 2026,Dépense SEM Q1 2026,Coût SEO Q1 2026,Dépense SEM Q4 2025,Coût SEO Q4 2025,Purchase intent,Questions,Yogurt types,Taste,Packaging,Ingredient,Brands,Retailer,Demography,Benefits,Testimonials,Bio,Moments,Recipes,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025
FR,pain aux bananes,RECIPES,RECIPES,Bread,,,,,#DIV/0!,#DIV/0!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Banana,,,,,,,,,,,,,,,,
New,protein high foods,PRODUCTS,PLANT BASED YOGURTS,Generic,,,,,#DIV/0!,#DIV/0!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rich in protein,,,,,,,,,,
New,foods that are high in protein,PRODUCTS,PLANT BASED YOGURTS,Generic,,,,,#DIV/0!,#DIV/0!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rich in protein,,,,,,,,,,
New,food with high protein,PRODUCTS,PLANT BASED YOGURTS,Generic,,,,,#DIV/0!,#DIV/0!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rich in protein,,,,,,,,,,
New,high protein foods,HEALTH,COMPOSITION,Proteins,,,,,#DIV/0!,#DIV/0!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rich in protein,,,,,,,,,,
New,foods with high protein,HEALTH,COMPOSITION,Proteins,,,,,#DIV/0!,#DIV/0!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rich in protein,,,,,,,,,,
New,high protien foods,HEALTH,COMPOSITION,Proteins,,,,,#DIV/0!,#DIV/0!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rich in protein,,,,,,,,,,
New,high protein food,HEALTH,COMPOSITION,Proteins,,,,,#DIV/0!,#DIV/0!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rich in protein,,,,,,,,,,
New,food high protein,HEALTH,COMPOSITION,Proteins,,,,,#DIV/0!,#DIV/0!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rich in protein,,,,,,,,,,
New,highest protein foods,HEALTH,COMPOSITION,Proteins,,,,,#DIV/0!,#DIV/0!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rich in protein,,,,,,,,,,
