"January 1, 2026 - March 31, 2026 compared to October 1, 2025 - December 31, 2025",,,,,,,,,,,,,,,,,,,,
Account name,Customer ID,Campaign,Search term,Search terms match type,Search keyword,Search keyword match type,Clicks,Clicks (Compare to),Clicks (Change),Clicks (Change %),Currency code,Cost,Cost (Compare to),Cost (Change),Cost (Change %),Impr.,Impr. (Compare to),Impr. (Change),Impr. (Change %),Campaign Type
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_TitanBrandGoogleEXT_YES,oikos protein shake,Exact match,oikos protein shake,Exact match,32 395,0,32 395, +∞,USD,"135507,64",0,"135507,64", +∞,136 437,0,136 437, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackBrandGoogleEXT_YES,oikos triple zero,Exact match,oikos triple zero,Exact match,27 632,0,27 632, +∞,USD,"84430,01",0,"84430,01", +∞,160 372,0,160 372, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_GeneralBrandGoogleEXT_YES,oikos yogurt,Exact match,oikos yogurt,Exact match,14 257,0,14 257, +∞,USD,"66119,17",0,"66119,17", +∞,132 559,0,132 559, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_TitanGenericGoogleEXT_YES,protein shakes,Exact match (close variant),protein shake,Exact match,9 338,0,9 338, +∞,USD,"33129,04",0,"33129,04", +∞,182 993,0,182 993, +∞,Generic
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBBrandGoogleEXT_YES,oikos protein yogurt,Exact match,oikos protein yogurt,Exact match,6 186,0,6 186, +∞,USD,"30788,63",0,"30788,63", +∞,65 924,0,65 924, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_TitanConquestingGoogleEXT_YES,premier protein shakes,Exact match,premier protein shakes,Exact match,5 258,0,5 258, +∞,USD,"18390,97",0,"18390,97", +∞,118 200,0,118 200, +∞,Conquesting
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackBrandGoogleEXT_YES,oikos triple zero nutrition,Exact match (close variant),oikos triple zero,Exact match,4 080,0,4 080, +∞,USD,"10256,08",0,"10256,08", +∞,13 314,0,13 314, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_TitanGenericGoogleEXT_YES,best protein shakes,Exact match,best protein shakes,Exact match,3 975,0,3 975, +∞,USD,"13612,2",0,"13612,2", +∞,48 641,0,48 641, +∞,Generic
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_TitanConquestingGoogleEXT_YES,premier protein,Exact match,premier protein,Exact match,3 564,0,3 564, +∞,USD,"12498,91",0,"12498,91", +∞,83 904,0,83 904, +∞,Conquesting
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackYogurtBrandGoogleEXT_YES,oikos pro,Exact match,oikos pro,Exact match,3 388,0,3 388, +∞,USD,"14334,91",0,"14334,91", +∞,20 927,0,20 927, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_TitanGenericGoogleEXT_YES,protein drinks,Exact match,protein drinks,Exact match,3 121,0,3 121, +∞,USD,"11022,77",0,"11022,77", +∞,52 537,0,52 537, +∞,Generic
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES,oikos protein shake,Exact match (close variant),Oikos Fusion Drink,Exact match,2 962,0,2 962, +∞,USD,"20059,95",0,"20059,95", +∞,14 851,0,14 851, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,oikos greek yogurt,Exact match,oikos greek yogurt,Exact match,2 821,0,2 821, +∞,USD,"14016,87",0,"14016,87", +∞,24 299,0,24 299, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackYogurtBrandGoogleEXT_YES,oikos protein shake,Exact match (close variant),oikos pro,Exact match,2 781,0,2 781, +∞,USD,"12446,99",0,"12446,99", +∞,11 868,0,11 868, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES,oikos protein shake,Exact match (close variant),Oikos High Protein Fusion Drink,Exact match,2 276,0,2 276, +∞,USD,"14083,42",0,"14083,42", +∞,11 315,0,11 315, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackBrandGoogleEXT_YES,oikos triple zero yogurt,Exact match,oikos triple zero yogurt,Exact match,2 085,0,2 085, +∞,USD,"6526,55",0,"6526,55", +∞,12 747,0,12 747, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackYogurtBrandGoogleEXT_YES,oikos pro yogurt,Exact match,oikos pro yogurt,Exact match,1 816,0,1 816, +∞,USD,7805,0,7805, +∞,11 770,0,11 770, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,oikos yogurt,Exact match (close variant),oikos greek,Exact match,1 782,0,1 782, +∞,USD,"10724,48",0,"10724,48", +∞,14 056,0,14 056, +∞,Brand
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_TitanConquestingGoogleEXT_YES,core power protein shake,Exact match,core power protein shake,Exact match,1 607,0,1 607, +∞,USD,"5564,19",0,"5564,19", +∞,60 834,0,60 834, +∞,Conquesting
USA_EDP_OIKOS,945-552-9954,USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackBrandGoogleEXT_YES,triple zero yogurt,Exact match,triple zero yogurt,Exact match,1 530,0,1 530, +∞,USD,"4840,17",0,"4840,17", +∞,9 149,0,9 149, +∞,Brand
