Search keyword report,,,,,,,,,,,,,,,,,,,,
"October 1, 2025 - March 31, 2026",,,,,,,,,,,,,,,,,,,,
Keyword status,Keyword,Campaign,Quality Score,Landing page exp.,Ad relevance,Exp. CTR,,,,,,,,,,,,,,
Search keyword report,,,,,,,Search keyword report,,,,,,,Search keyword report,,,,,,
Enabled,[chobani complete peach],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete peach],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete peach],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani banana cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani banana cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani banana cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani 25g protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,2,Below average,Average,Below average,Enabled,[chobani 25g protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,2,Below average,Average,Below average,Enabled,[chobani 25g protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,2,Below average,Average,Below average
Enabled,[chobani mixed berry vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani mixed berry vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani mixed berry vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete mixed berry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete mixed berry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete mixed berry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete shake],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete shake],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete shake],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani mixed berry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani mixed berry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani mixed berry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete nutrition],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete nutrition],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete nutrition],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani strawberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani strawberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani strawberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani key lime],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani key lime],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani key lime],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete nutrition facts],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete nutrition facts],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete nutrition facts],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete strawberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete strawberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete strawberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani blueberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani blueberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani blueberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete protein drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete protein drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete protein drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
