Keyword,Difficulty,Position,"Previous position","Position Serp Features","Search vol.","Search intent","SERP features",Competition,CPC,URL,Traffic,"Traffic share","Traffic cost"
oikos,86,1,1,Sitelinks,33100,"L, N","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Related searches",0.81,0.32,https://www.oikos.com/,8108,14.52,2594.56
"oikos triple zero",92,2,2,Sitelinks,74000,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/,7667,13.73,4293.52
"oikos yogurt",93,1,2,Sitelinks,74000,C,"Reviews, Sitelinks, Video, Images, Shopping results, Related searches",0.99,10,https://www.oikos.com/,5557,9.95,55570
"oikos pro",85,1,,Sitelinks,12100,C,"Sitelinks, Video, People also ask, Images, Shopping results, Related searches",1,9.45,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,1948,3.49,18408.6
"oikos protein yogurt",82,1,,"AI Overview",33100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.64,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,1149,2.06,735.36
"oikos triple zero yogurt",69,2,1,Sitelinks,9900,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/all-products/triple-zero/,1104,1.98,607.2
"oikos triple zero nutrition",75,2,,Reviews,20100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/vanilla/,1039,1.86,405.21
"oikos triple zero",92,2,2,Sitelinks,74000,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/product/vanilla-quart/,940,1.68,526.4
"oikos triple zero calories",73,1,,"AI Overview",22400,C,"Reviews, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/vanilla/,675,1.21,263.25
"oikos triple zero calories",73,2,2,Reviews,22400,C,"Reviews, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/vanilla/,672,1.2,262.08
"oikos yogurt",93,1,2,Sitelinks,74000,C,"Reviews, Sitelinks, Video, Images, Shopping results, Related searches",0.99,10,https://www.oikos.com/all-products/triple-zero/,667,1.19,6670
"calories in oikos triple zero",77,2,2,Reviews,12100,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/vanilla/,651,1.17,253.89
"oikos protein yogurt",82,3,1,,33100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.64,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,639,1.14,408.96
"oikos pro yogurt",67,2,,Sitelinks,5400,"L, C","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.99,2.26,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,546,0.98,1233.96
"oikos pro drink",66,1,,Sitelinks,3100,"L, C","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, Find results on, Related searches",1,0.56,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,485,0.87,271.6
oikos,86,1,1,Sitelinks,33100,"L, N","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Related searches",0.81,0.32,https://www.oikos.com/all-products/triple-zero/,462,0.83,147.84
"calories in oikos triple zero",77,1,,"AI Overview",12100,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/vanilla/,456,0.82,177.84
"oikos yogurt",93,1,2,Sitelinks,74000,C,"Reviews, Sitelinks, Video, Images, Shopping results, Related searches",0.99,10,https://www.oikos.com/all-products/,441,0.79,4410
"oikos greek yogurt",80,1,1,,14800,C,"Reviews, Video, People also ask, Images, Shopping results, Find results on, Related searches",1,10,https://www.oikos.com/all-products/triple-zero/,413,0.74,4130
"oikos triple zero",92,2,,Sitelinks,74000,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,393,0.7,220.08
"oikos triple zero",92,3,,"People also ask",74000,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/,376,0.67,210.56
"oikos protein shake",86,4,4,,40500,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.31,https://www.oikos.com/all-products/oikos-protein-shakes/,332,0.59,102.92
"oikos yogurt",93,1,,Sitelinks,74000,C,"Reviews, Sitelinks, Video, Images, Shopping results, Related searches",0.99,10,https://www.oikos.com/all-products/remix/,329,0.59,3290
"oikos triple zero yogurt",69,1,,"AI Overview",9900,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,294,0.53,161.7
